"document"	"topic"	"gamma"
"93"	"1011_Длиннобородый_и_Широкорогий.txt"	9	6.13693019512813e-06
"94"	"1011_Длиннобородый_и_Широкорогий.txt"	26	6.13693019512609e-06
"95"	"1011_Длиннобородый_и_Широкорогий.txt"	17	6.13693019512467e-06
"96"	"1011_Длиннобородый_и_Широкорогий.txt"	13	6.13693019512253e-06
"97"	"1011_Длиннобородый_и_Широкорогий.txt"	27	6.13693019511708e-06
"98"	"1011_Длиннобородый_и_Широкорогий.txt"	5	6.13693019511417e-06
"99"	"1011_Длиннобородый_и_Широкорогий.txt"	18	6.13693019511119e-06
"100"	"1011_Длиннобородый_и_Широкорогий.txt"	10	6.13693019510743e-06
"101"	"1011_Длиннобородый_и_Широкорогий.txt"	8	6.13693019510129e-06
"102"	"1011_Длиннобородый_и_Широкорогий.txt"	14	6.13693019509909e-06
"103"	"1011_Длиннобородый_и_Широкорогий.txt"	19	6.13693019508719e-06
"104"	"1011_Длиннобородый_и_Широкорогий.txt"	3	6.13693019507717e-06
"105"	"1011_Длиннобородый_и_Широкорогий.txt"	4	6.13693019506302e-06
"106"	"1011_Длиннобородый_и_Широкорогий.txt"	20	6.13693019502092e-06
"107"	"1011_Длиннобородый_и_Широкорогий.txt"	25	6.13693019502051e-06
"108"	"1011_Длиннобородый_и_Широкорогий.txt"	16	6.13693019499915e-06
"109"	"1012_Улунь.txt"	6	0.999911182556287
"110"	"1012_Улунь.txt"	2	3.41605553097579e-06
"111"	"1012_Улунь.txt"	10	3.41605552744399e-06
"112"	"1012_Улунь.txt"	15	3.41605552740706e-06
"113"	"1012_Улунь.txt"	8	3.41605552739521e-06
"114"	"1012_Улунь.txt"	14	3.41605552739358e-06
"115"	"1012_Улунь.txt"	24	3.41605552736507e-06
"116"	"1012_Улунь.txt"	12	3.41605552735894e-06
"117"	"1012_Улунь.txt"	21	3.41605552734696e-06
"118"	"1012_Улунь.txt"	22	3.41605552733456e-06
"119"	"1012_Улунь.txt"	26	3.41605552732565e-06
"120"	"1012_Улунь.txt"	19	3.41605552732367e-06
"121"	"1012_Улунь.txt"	7	3.41605552729757e-06
"122"	"1012_Улунь.txt"	5	3.41605552729385e-06
"123"	"1012_Улунь.txt"	27	3.41605552728985e-06
"124"	"1012_Улунь.txt"	18	3.41605552726848e-06
"125"	"1012_Улунь.txt"	9	3.41605552725997e-06
"126"	"1012_Улунь.txt"	25	3.41605552725584e-06
"127"	"1012_Улунь.txt"	13	3.41605552725577e-06
"128"	"1012_Улунь.txt"	17	3.41605552725298e-06
"129"	"1012_Улунь.txt"	1	3.41605552725297e-06
"130"	"1012_Улунь.txt"	20	3.41605552724519e-06
"131"	"1012_Улунь.txt"	23	3.41605552724242e-06
"132"	"1012_Улунь.txt"	3	3.41605552720818e-06
"133"	"1012_Улунь.txt"	16	3.41605552719491e-06
"134"	"1012_Улунь.txt"	11	3.41605552719402e-06
"135"	"1012_Улунь.txt"	4	3.41605552715246e-06
"136"	"1018_Три_инвалида.txt"	12	0.999731550549048
