"document"	"topic"	"gamma"
"91"	"1778_Строль_и_Фиериль.txt"	8	2.78275090510043e-05
"92"	"1778_Строль_и_Фиериль.txt"	12	2.78275090509943e-05
"93"	"1778_Строль_и_Фиериль.txt"	5	2.78275090509933e-05
"94"	"1778_Строль_и_Фиериль.txt"	7	2.78275090509821e-05
"95"	"1778_Строль_и_Фиериль.txt"	14	2.7827509050962e-05
"96"	"1778_Строль_и_Фиериль.txt"	21	2.78275090509587e-05
"97"	"1778_Строль_и_Фиериль.txt"	27	2.78275090509565e-05
"98"	"1778_Строль_и_Фиериль.txt"	26	2.78275090509551e-05
"99"	"1778_Строль_и_Фиериль.txt"	15	2.78275090509458e-05
"100"	"1778_Строль_и_Фиериль.txt"	19	2.78275090509413e-05
"101"	"1778_Строль_и_Фиериль.txt"	20	2.78275090509411e-05
"102"	"1778_Строль_и_Фиериль.txt"	11	2.78275090509256e-05
"103"	"1778_Строль_и_Фиериль.txt"	18	2.78275090509099e-05
"104"	"1778_Строль_и_Фиериль.txt"	24	2.78275090509002e-05
"105"	"1778_Строль_и_Фиериль.txt"	6	2.78275090508981e-05
"106"	"1778_Строль_и_Фиериль.txt"	2	2.78275090508681e-05
"107"	"1778_Строль_и_Фиериль.txt"	10	2.78275090507391e-05
"108"	"1778_Строль_и_Фиериль.txt"	13	2.78275090507311e-05
"109"	"1779_Ветка_полыни.txt"	16	0.999552813197696
"110"	"1779_Ветка_полыни.txt"	2	1.71994923964061e-05
"111"	"1779_Ветка_полыни.txt"	20	1.71994923964061e-05
"112"	"1779_Ветка_полыни.txt"	27	1.71994923963853e-05
"113"	"1779_Ветка_полыни.txt"	24	1.71994923963813e-05
"114"	"1779_Ветка_полыни.txt"	17	1.71994923963803e-05
"115"	"1779_Ветка_полыни.txt"	4	1.71994923963708e-05
"116"	"1779_Ветка_полыни.txt"	14	1.71994923963705e-05
"117"	"1779_Ветка_полыни.txt"	8	1.71994923963687e-05
"118"	"1779_Ветка_полыни.txt"	3	1.71994923963426e-05
"119"	"1779_Ветка_полыни.txt"	21	1.7199492396335e-05
"120"	"1779_Ветка_полыни.txt"	10	1.7199492396325e-05
"121"	"1779_Ветка_полыни.txt"	18	1.71994923963212e-05
"122"	"1779_Ветка_полыни.txt"	22	1.71994923963158e-05
"123"	"1779_Ветка_полыни.txt"	19	1.71994923963148e-05
"124"	"1779_Ветка_полыни.txt"	23	1.71994923963097e-05
"125"	"1779_Ветка_полыни.txt"	25	1.71994923963007e-05
"126"	"1779_Ветка_полыни.txt"	13	1.71994923962931e-05
"127"	"1779_Ветка_полыни.txt"	12	1.71994923962893e-05
"128"	"1779_Ветка_полыни.txt"	9	1.7199492396288e-05
"129"	"1779_Ветка_полыни.txt"	11	1.71994923962829e-05
"130"	"1779_Ветка_полыни.txt"	5	1.71994923962719e-05
"131"	"1779_Ветка_полыни.txt"	7	1.71994923962631e-05
"132"	"1779_Ветка_полыни.txt"	6	1.71994923962509e-05
"133"	"1779_Ветка_полыни.txt"	15	1.71994923962184e-05
"134"	"1779_Ветка_полыни.txt"	1	1.71994923961991e-05
"135"	"1779_Ветка_полыни.txt"	26	1.71994923961883e-05
"136"	"1942_Крупеничка.txt"	21	0.999365406830684
"137"	"1942_Крупеничка.txt"	27	2.44074295891382e-05
"138"	"1942_Крупеничка.txt"	5	2.44074295891251e-05
"139"	"1942_Крупеничка.txt"	18	2.44074295891249e-05
"140"	"1942_Крупеничка.txt"	10	2.4407429589124e-05
"141"	"1942_Крупеничка.txt"	24	2.44074295891109e-05
"142"	"1942_Крупеничка.txt"	16	2.44074295891073e-05
"143"	"1942_Крупеничка.txt"	8	2.44074295891058e-05
"144"	"1942_Крупеничка.txt"	17	2.44074295890963e-05
"145"	"1942_Крупеничка.txt"	15	2.44074295890938e-05
"146"	"1942_Крупеничка.txt"	4	2.44074295890919e-05
"147"	"1942_Крупеничка.txt"	22	2.44074295890917e-05
"148"	"1942_Крупеничка.txt"	14	2.44074295890898e-05
"149"	"1942_Крупеничка.txt"	19	2.44074295890801e-05
