"document"	"topic"	"gamma"
"97"	"1077_.txt"	2	3.09144831580586e-05
"98"	"1077_.txt"	5	3.09144831580577e-05
"99"	"1077_.txt"	8	3.09144831580357e-05
"100"	"1077_.txt"	7	3.09144831579967e-05
"101"	"1078_Тихон_Матвеич.txt"	3	0.681089224926052
"102"	"1078_Тихон_Матвеич.txt"	9	0.31876546149378
"103"	"1078_Тихон_Матвеич.txt"	4	1.81641975212095e-05
"104"	"1078_Тихон_Матвеич.txt"	6	1.81641975211152e-05
"105"	"1078_Тихон_Матвеич.txt"	1	1.81641975211129e-05
"106"	"1078_Тихон_Матвеич.txt"	7	1.81641975210745e-05
"107"	"1078_Тихон_Матвеич.txt"	2	1.81641975210305e-05
"108"	"1078_Тихон_Матвеич.txt"	8	1.81641975209655e-05
"109"	"1078_Тихон_Матвеич.txt"	10	1.81641975208903e-05
"110"	"1078_Тихон_Матвеич.txt"	5	1.81641975207646e-05
"111"	"1084_Аист_Лелька.txt"	3	0.725229596073007
"112"	"1084_Аист_Лелька.txt"	2	0.274557448023061
"113"	"1084_Аист_Лелька.txt"	4	2.66194879918349e-05
"114"	"1084_Аист_Лелька.txt"	7	2.66194879915983e-05
"115"	"1084_Аист_Лелька.txt"	8	2.66194879915562e-05
"116"	"1084_Аист_Лелька.txt"	9	2.66194879915372e-05
"117"	"1084_Аист_Лелька.txt"	6	2.66194879914741e-05
"118"	"1084_Аист_Лелька.txt"	1	2.66194879914492e-05
"119"	"1084_Аист_Лелька.txt"	10	2.66194879914062e-05
"120"	"1084_Аист_Лелька.txt"	5	2.66194879913776e-05
"121"	"1085_Гришка_и_Мишка.txt"	7	0.52023714230432
"122"	"1085_Гришка_и_Мишка.txt"	2	0.364790375315106
"123"	"1085_Гришка_и_Мишка.txt"	4	0.114771772277292
"124"	"1085_Гришка_и_Мишка.txt"	1	2.86728718979386e-05
"125"	"1085_Гришка_и_Мишка.txt"	3	2.86728718974612e-05
"126"	"1085_Гришка_и_Мишка.txt"	9	2.86728718972735e-05
"127"	"1085_Гришка_и_Мишка.txt"	6	2.86728718972596e-05
"128"	"1085_Гришка_и_Мишка.txt"	10	2.86728718972419e-05
"129"	"1085_Гришка_и_Мишка.txt"	8	2.86728718971925e-05
"130"	"1085_Гришка_и_Мишка.txt"	5	2.867287189717e-05
"131"	"1086_Модель_номер_десять.txt"	4	0.589198255813282
"132"	"1086_Модель_номер_десять.txt"	3	0.251704935678312
"133"	"1086_Модель_номер_десять.txt"	1	0.159028772522588
"134"	"1086_Модель_номер_десять.txt"	6	9.71942654575479e-06
"135"	"1086_Модель_номер_десять.txt"	7	9.71942654561265e-06
"136"	"1086_Модель_номер_десять.txt"	10	9.71942654558826e-06
"137"	"1086_Модель_номер_десять.txt"	8	9.7194265454687e-06
"138"	"1086_Модель_номер_десять.txt"	2	9.71942654540247e-06
