"group"	"mean_par"	"scaled_par"	"scaled_par_div"
"1"	"1"	5	4.16666666666667	1.72025219925375
"2"	"2"	1	2.66666666666667	1.1009614075224
"3"	"3"	2	1.88888888888889	0.779847663661701
"4"	"4"	2.66666666666667	2.88888888888889	1.1927081914826
"5"	"5"	4	3.05555555555556	1.26151827945275
"6"	"6"	2.5	3.27777777777778	1.35326506341295
"7"	"7"	3.33333333333333	2.44444444444444	1.0092146235622
"8"	"8"	1.5	1.94444444444444	0.802784359651751
"9"	"9"	1	1.38888888888889	0.573417399751251
"10"	"10"	1.66666666666667	0.5	0.20643026391045
