"group"	"mean_sent"	"scaled_sent"	"scaled_sent_div"
"1"	"1"	7.18181818181818	7.31363636363636	0.627538300311313
"2"	"2"	6.36363636363636	6.60606060606061	0.566825562328014
"3"	"3"	6.27272727272727	6.24545454545455	0.535884166953228
"4"	"4"	6.1	6.33636363636364	0.543684518728384
"5"	"5"	6.63636363636364	7.91212121212121	0.678890616164424
"6"	"6"	11	8.71212121212121	0.747533711785799
"7"	"7"	8.5	9.1969696969697	0.789135587919965
"8"	"8"	8.09090909090909	8.1969696969697	0.703331718393247
"9"	"9"	8	8.18181818181818	0.702031659764054
"10"	"10"	8.45454545454546	8.20454545454546	0.703981747707843
