"group"	"mean_par"	"scaled_par"	"scaled_par_div"
"1"	"1"	1.5	1.27678571428571	0.527134423914185
"2"	"2"	1.42857142857143	1.30952380952381	0.540650691194036
"3"	"3"	1	1.43452380952381	0.592258257171649
"4"	"4"	1.875	1.43452380952381	0.592258257171649
"5"	"5"	1.42857142857143	1.7202380952381	0.71021840797762
"6"	"6"	1.85714285714286	1.55357142857143	0.64140832000747
"7"	"7"	1.375	1.60119047619048	0.661068345141799
"8"	"8"	1.57142857142857	1.45833333333333	0.602088269738813
"9"	"9"	1.42857142857143	1.41666666666667	0.584885747746276
"10"	"10"	1.25	1.27678571428571	0.527134423914185
