"doc_id"	"id"	"par_id"	"sent_n"	"group"
"76"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	76	6	"7"
"77"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	77	1	"7"
"78"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	78	2	"7"
"79"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	79	5	"7"
"80"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	80	3	"7"
"81"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	81	3	"7"
"82"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	82	2	"7"
"83"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	83	3	"7"
"84"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	84	2	"7"
"85"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	85	6	"8"
"86"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	86	5	"8"
"87"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	87	8	"8"
"88"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	88	15	"8"
"89"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	89	4	"8"
"90"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	90	2	"8"
"91"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	91	3	"8"
"92"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	92	2	"8"
"93"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	93	3	"8"
"94"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	94	20	"8"
"95"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	95	8	"8"
"96"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	96	2	"8"
"97"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	97	5	"9"
"98"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	98	1	"9"
"99"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	99	2	"9"
"100"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	100	8	"9"
"101"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	101	1	"9"
"102"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	102	1	"9"
"103"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	103	1	"9"
"104"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	104	1	"9"
"105"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	105	3	"9"
"106"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	106	12	"9"
"107"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	107	1	"9"
"108"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	108	1	"9"
"109"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	109	1	"10"
"110"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	110	7	"10"
"111"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	111	3	"10"
"112"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	112	2	"10"
"113"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	113	1	"10"
"114"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	114	14	"10"
"115"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	115	1	"10"
"116"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	116	8	"10"
"117"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	117	1	"10"
"118"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	118	2	"10"
"119"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	119	3	"10"
"120"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	120	4	"10"
