"group"	"mean_sent"	"scaled_sent"	"scaled_sent_div"
"1"	"1"	10.5384615384615	8.38056680161943	0.828368956123211
"2"	"2"	8.18421052631579	10.4777327935223	1.03566128427385
"3"	"3"	12.7105263157895	11.1315789473684	1.10029006998105
"4"	"4"	12.5	11.0526315789474	1.09248659430742
"5"	"5"	7.94736842105263	9.8421052631579	0.972833300645182
"6"	"6"	9.07894736842105	8.60526315789474	0.850578848425065
"7"	"7"	8.78947368421053	8.43859649122807	0.834104844225191
"8"	"8"	7.44736842105263	8.42105263157895	0.832370738519941
"9"	"9"	9.02631578947368	9.01754385964912	0.891330332498437
"10"	"10"	10.5789473684211	10.6973684210526	1.05737095377611
