"group"	"mean_par"	"scaled_par"	"scaled_par_div"
"1"	"1"	3.5	2.64285714285714	1.1332947726418
"2"	"2"	1.71428571428571	2.4047619047619	1.03119614447587
"3"	"3"	2	2.38095238095238	1.02098628165928
"4"	"4"	3.42857142857143	2.26785714285714	0.972489433280466
"5"	"5"	1.375	2.93452380952381	1.25836559214506
"6"	"6"	4	2.45833333333333	1.05416833581321
"7"	"7"	2	3	1.28644271489069
"8"	"8"	3	2.42857142857143	1.04140600729247
"9"	"9"	2.28571428571429	2.26190476190476	0.969936967576317
"10"	"10"	1.5	1.64285714285714	0.704480534344904
