"group"	"mean_sent"	"scaled_sent"	"scaled_sent_div"
"1"	"1"	20.7777777777778	17.6666666666667	1.74624444518663
"2"	"2"	11.0555555555556	14.2222222222222	1.40578169172257
"3"	"3"	10.8333333333333	13.0555555555556	1.29046366232345
"4"	"4"	17.2777777777778	15.1481481481481	1.49730393727742
"5"	"5"	17.3333333333333	16.4444444444444	1.62543508105422
"6"	"6"	14.7222222222222	16.7592592592593	1.65655264454287
"7"	"7"	18.2222222222222	15.5	1.53208239058827
"8"	"8"	13.5555555555556	15.6851851851852	1.55038683969924
"9"	"9"	15.2777777777778	12.8703703703704	1.27215921321248
"10"	"10"	9.77777777777778	8.30555555555556	0.820954542627047
