"group"	"mean_par"	"scaled_par"	"scaled_par_div"
"1"	"1"	3.8	3.6	1.54373125786883
"2"	"2"	1	2.1	0.900509900423486
"3"	"3"	1.5	1.3	0.557458509785968
"4"	"4"	1.4	2.96666666666667	1.27214890694746
"5"	"5"	6	3.05	1.30788342680554
"6"	"6"	1.75	3.45	1.4794091221243
"7"	"7"	2.6	1.86666666666667	0.800453244820877
"8"	"8"	1.25	1.61666666666667	0.693249685246652
"9"	"9"	1	1.21666666666667	0.521723989927893
"10"	"10"	1.4	0.6	0.257288542978139
