"group"	"mean_sent"	"scaled_sent"	"scaled_sent_div"
"1"	"1"	8.6	7.75	0.766041195294134
"2"	"2"	13.8	12.837037037037	1.26886441237251
"3"	"3"	16.1111111111111	15.137037037037	1.49620567033076
"4"	"4"	15.5	14.8333333333333	1.46618637378877
"5"	"5"	12.8888888888889	15.5296296296296	1.53501110244602
"6"	"6"	18.2	17.362962962963	1.71622514864463
"7"	"7"	21	17.9	1.76930805106645
"8"	"8"	14.5	16.0555555555556	1.58699573792118
"9"	"9"	12.6666666666667	13.9555555555556	1.37942328500277
"10"	"10"	14.7	10.5333333333333	1.04115706543203
