"group"	"mean_sent"	"scaled_sent"	"scaled_sent_div"
"1"	"1"	8.75	8.93181818181818	0.882856861438694
"2"	"2"	5.90909090909091	7.38636363636364	0.7300979134035
"3"	"3"	7.5	6.31818181818182	0.624514522849763
"4"	"4"	5.54545454545455	8.84848484848485	0.874619859338757
"5"	"5"	13.5	8.92424242424242	0.882108043065972
"6"	"6"	7.72727272727273	10.469696969697	1.03486699110117
"7"	"7"	10.1818181818182	7.49747474747475	0.741080582870082
"8"	"8"	4.58333333333333	8.49747474747475	0.839924608069325
"9"	"9"	10.7272727272727	7.2979797979798	0.721361699055082
"10"	"10"	6.58333333333333	6.8560606060606	0.677680627312992
