"group"	"mean_sent"	"scaled_sent"	"scaled_sent_div"
"1"	"1"	11.375	10.3855846774194	0.89112335261997
"2"	"2"	9.67741935483871	10.7701612903226	0.924121514136545
"3"	"3"	11.258064516129	10.8639112903226	0.932165626904675
"4"	"4"	11.65625	10.8209005376344	0.928475137892773
"5"	"5"	9.54838709677419	10.5950940860215	0.909100070580288
"6"	"6"	10.5806451612903	8.95967741935484	0.768774992291802
"7"	"7"	6.75	9.97043010752688	0.855501484071495
"8"	"8"	12.5806451612903	9.65860215053763	0.828745438735207
"9"	"9"	9.64516129032258	11.0023521505376	0.944044388411734
"10"	"10"	10.78125	12.2288306451613	1.04928098914175
