"doc_id"	"id"	"par_id"	"sent_gen"	"sent_loc"	"word_n"	"group"
"64"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	41	64	21	17	"9"
"65"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	41	65	22	1	"9"
"66"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	41	66	23	13	"10"
"67"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	41	67	24	6	"10"
"68"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	41	68	25	1	"10"
"69"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	41	69	26	2	"10"
"70"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	42	70	1	4	"10"
"71"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	42	71	2	11	"10"
"72"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	42	72	3	4	"10"
"73"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	43	73	1	2	"10"
