"group"	"mean_sent"	"scaled_sent"	"scaled_sent_div"
"1"	"1"	7.125	8.26785714285714	0.709414135551256
"2"	"2"	9.42857142857143	7.75595238095238	0.665490726150674
"3"	"3"	6.71428571428571	7.76190476190476	0.666001463469286
"4"	"4"	7.14285714285714	8.24404761904762	0.70737118627681
"5"	"5"	10.875	7.67261904761905	0.658340403690114
"6"	"6"	5	7.10119047619048	0.609309621103418
"7"	"7"	5.42857142857143	6.66666666666667	0.572025796844785
"8"	"8"	9.57142857142857	8.57142857142857	0.735461738800438
"9"	"9"	10.7142857142857	8.55357142857143	0.733929526844604
"10"	"10"	5.375	8.01785714285714	0.687963168169576
